sentence;smsa_label;hate_hs;hate_abusive
mereka memercayai bahwa penghinaan secara sengaja terhadap quran adalah sebuah bentuk penghinaan serius terhadap sesuatu yang suci;neutral;0;0
 secara umum dapat disimpulkan bahwa pesan yang terdapat dalam quran fokus pada konsep tauhid yang maknanya mengesakan allah;neutral;0;0
al quran online dan terjemahan berbahasa indonesia quran dan terjemahan dalam berbagai bahasa proyek quran multibahasa;neutral;0;0
quran atau quran adalah sebuah kitab suci utama dalam agama islam yang dipercayai muslim bahwa kitab ini diturunkan oleh allah yang diturunkan kepada nabi islam muhammad;neutral;0;0
al-qaththan mendefinisikan quran sebagai firman allah yang diturunkan kepada muhammad yang dapat menjadi sarana ibadah dengan membacanya;neutral;0;0
ilmu quran yang membahas mengenai latar belakang maupun sebab suatu ayat atau beberapa ayat quran diturunkan disebut asbabun nuzul;neutral;0;0
selain itu quran juga disebut dengan karakteristiknya seperti kabar gembira ilmu pengetahuan tali yang kuat kebenaran tali allah dan pernyataan yang jelas untuk manusia;neutral;0;0
quran di situs web resmi quran kemenag quran word by word;neutral;0;0
pada masa pemerintahan khalifah ke-3 yakni utsman bin affan terdapat keragaman dalam cara pembacaan quran qiraat yang disebabkan oleh adanya perbedaan dialek lahjah antar suku yang berasal dari daerah berbeda-beda;neutral;0;0
para ahli tafsir memiliki definisi tersendiri tentang quran semisal dr;neutral;0;0
ibnul atsir mengatakan kata quran adalah mashdar bentuk kata infinitif dengan pola seperti gufran dan kufran;neutral;0;0
seseorang yang menghafal isi quran disebut hafiz;neutral;0;0
quran digunakan bersama dengan hadis untuk menentukan hukum syariah dan yurispridensi islam fiqih;neutral;0;0
di hadapan ismail bin qistintin dan dia dulu biasa mengatakan quran itu adalah isim bukan mahmuz dan tidak diambil dari kata qarata kamu membaca;neutral;0;0
wahyu pertama muhammad surah al-alaq kemudian ditempatkan ke-96 dalam urutan quran dalam gaya penulisan saat ini;neutral;0;0
tidak ada yang menyentuh quran kecuali orang yang suci;neutral;0;0
dengan demikian kedudukan terjemahan dan tafsir yang dihasilkan tidaklah sama dengan quran itu sendiri;neutral;0;0
al-quran diturunkan secara langsung dari allah yang mahakuasa dari surga tertinggi melalui malaikat jibril kemudian masuk ke dalam hati nabi muhammad quran mulai pertama kali diturunkan pada tahun 610 masehi ketika nabi muhammad berumur 40 tahun;neutral;0;0
pada ayat quran link link kata qarata berhamzah sedangkan kata quran tidak berhamzah;neutral;0;0
para ulama menganjurkan bahwa tempat terbaik untuk membaca quran adalah di dalam masjid;neutral;0;0
beberapa ulama berpendapat bahwa quran diperintahkan oleh allah untuk tidak disusun secara kronologis agar tidak dibaca seperti sebuah buku dalam arti yang lebih dalam perintah dalam quran menjadi sebuah pengingat bahwa hubungan kita dengan allah tidak linear atau saw dimensi karena allah berada di luar jangkauan ruang dan waktu versi tertulis quran dihargai dan dihormati dengan tinggi tidak ada yang dilakukan pada kata-kata tertulis dari quran yang memengaruhi kesuciannya;neutral;0;0
menurut sebagian ulama ayat-ayat quran turun secara berangsur-angsur dalam kurun waktu 22 tahun 2 bulan 22 hari dan ada pula sebagian ulama lain yang berpendapat bahwa quran diwahyukan secara bertahap dalam kurun waktu 23 tahun dimulai pada 22 desember 603 masehi;neutral;0;0
terjemahan quran adalah hasil usaha penerjemahan secara literal terhadap teks bahasa arab quran tanpa disertai dengan usaha interpretasi lebih jauh;neutral;0;0
quran memberikan dorongan yang besar untuk mempelajari sejarah dengan secara adil objektif dan tidak memihak;neutral;0;0
dalam quran terdapat riwayat-riwayat mengenai kaum dari rasul-rasul terdahulu juga mengenai beberapa bagian mengenai kehidupan para rasul tersebut serta meluruskan beberapa aspek penting pada teks-teks lain di kalangan bani israil ahli kitab yahudi dan bangsa arabia pra-islam;neutral;0;0
meski kita menyebut quran sebagai sebuah buku, ia sebenarnya tidak ditulis dalam wahyu kalimat-kalimat tapi bacaan dari kalimat-kalimat itu;neutral;0;0
terjemahan quran dalam bahasa indonesia quran dan terjemahannya oleh departemen agama republik indonesia ada dua edisi revisi yaitu tahun 1989 dan 2002 terjemah quran oleh mahmoed joenoes an-nur oleh muhammad hasbi al-furqan oleh ahmad hassan guru persatuan islam quranul-karim bacaan mulia oleh hans bague jassin terjemahan quran dalam bahasa inggris the holy quran text translation and commentary oleh abdullah yusuf ali the meaning of the holy quran oleh marmaduke pickthall terjemahan quran dalam berbagai bahasa daerah di indonesia al-amin bahasa sunda al-ibriz bahasa jawa oleh k;neutral;0;0
penulisan ayat-ayat quran dilakukan serta diselesaikan pada masa muhammad yang merupakan seorang arab sementara pertanggungjawaban isi quran berada pada allah sebab kemurnian dan keaslian quran dijamin oleh allah;neutral;0;0
kata qarata berhamzah sedangkan kata quran tidak berhamzah;neutral;0;0
pendapat pertama pendapat kelompok pertama meyakini seseorang diharuskan berwudhu sebelum menyentuh sebuah mushaf quran;neutral;0;0
yang juga berpendapat bahwa kata quran itu isim musytaqq ada yang menganggapnya musytaqq dari huruf q-r-;neutral;0;0
beberapa umat muslim membacakan quran dengan tartil;neutral;0;0
seperti tubuh manusia yang membawa jiwa yang tidak berwujud huruf-huruf quran rnembawa suara suci petunjuk cahaya ilahi;neutral;0;0
berkaitan dengan adanya kitab-kitab yang dipercayai diturunkan kepada nabi-nabi sebelum muhammad yaitu suhuf ibrahim taurat zabur dan injil di antara kitab-kitab suci tersebut allah secara khusus menyebut kedudukan al-kitab yang diberikan kepada musa memiliki kaitan paling erat dengan quran;neutral;0;0
pada masa kekhalifahan abu bakar pada priode 11-13 hijriyah di madinah terjadi beberapa pertempuran dalam perang yang dikenal dengan nama perang riddah yang mengakibatkan tewasnya beberapa penghafal quran dalam jumlah yang signifikan;neutral;0;0
sedangkan pendapat kedua mengatakan boleh dan sah saja untuk menyentuh quran karena tidak ada dalil yang menguatkannya;neutral;0;0
pemilihan masjid didasari oleh kemuliaan dan kebersihan yang dimiliki oleh masjid;neutral;0;0
pemberhentian pembacaan quran tidak boleh dilakukan kecuali untuk menjawab salat atau untuk mendengar azan;neutral;0;0
sebagaimana fatimah az-zahra putri tercinta rasulullah mengajarkan kita hikmah dalam quran akan membawa anda dari kegelapan kebodohan menuju cahaya ilmu;neutral;0;0
setiap kata dalam quran adalah penerang yang menghapus kegelapan rasa takut kita masuk ke dalam gua alam bawah sadar kita menyinari bagian dalam diri yang kita berusaha tutupi sekuat tenaga;neutral;0;0
apa pun yang kita lihat dalam quran merujuk pada kondisi kesadaran anda sendiri;neutral;0;0
pendapat ini dibantah dengan argumen bahwa pembacaan kata quran tanpa hamzah menjadi quran seperti dalam qiraat ibnu katsir termasuk dalam hukum takhfif peringanan cara membaca dan naql pemindahan harakat hamzah ke huruf bersukun sebelumnya;neutral;0;0
saat bulan suci ramadan biasanya umat muslim melengkapi hafalan dan membaca quran mereka setelah melaksanakan shalat tarawih;neutral;0;0
kemudian setelah kematian muhammad hingga saat ini usaha menggali lebih dalam ayat-ayat quran terus berlanjut;neutral;0;0
menurut an-nawawi pembacaan quran dilakukan pada tempat-tempat yang bersih dan dianggap sebagai tempat terbaik;neutral;0;0
terdapat berbagai ayat di quran tentang penegasan kedudukan terhadap kitab-kitab tersebut;neutral;0;0
bisyri mustafa rembang quran dan terjemahnya bahasa sasak bahasa sasak oleh tim penerjemah dari iain mataram quran suci basa jawi bahasa jawa oleh muhammad adnan quran bahasa sunda oleh k;neutral;0;0
bagaimanapun penting untuk diperhatikan bahwa bagian-bagian quran tidak disatukan sebagaimana mereka diturunkan;neutral;0;0
faktanya kata quran berasal dari akar kata qa-ra-a yang artinya membaca mengumpulkan dan menggabungkan;neutral;0;0
di samping itu banyak juga sahabat-sahabat langsung menghafalkan ayat-ayat quran setelah wahyu diturunkan;neutral;0;0
terdapat pembagian lain yang disebut manzil yang membagi quran menjadi 7 bagian;neutral;0;0
setelah pekerjaan tersebut selesai dan quran tersusun secara rapi dalam satu mushaf hasilnya diserahkan kepada abu bakar;neutral;0;0
secara umum quran terbagi menjadi 30 bagian yang dikenal dengan nama juz;neutral;0;0
berpikir bahwa anda dapat menghapus mengganti atau membuat duplikat dari quran di bumi adalah seperti memukul cermin itu dan berpikir bahwa orang yang ada di dalam cermin akan terlukai;neutral;0;0
untuk memahami makna dari al quran umat muslim menggunakan rujukan yang disebut tafsir;neutral;0;0
walaupun demikian terdapat 114 lafadz bismillahirahmanirrahim yang setara dengan jumlah 114 surah dalam quran oleh sebab lafadz ini disebut dua kali dalam surah an-naml yakni pada bagian pembuka surah serta pada ayat ke-30 yang berkaitan dengan sebuah surat dari sulaiman kepada ratu sheba;neutral;0;0
quran terdiri atas 114 surah 30 juz dan 6238 ayat menurut riwayat hafsh 6262 ayat menurut riwayat ad-dur atau 6214 ayat menurut riwayat warsy;neutral;0;0
seperti ribuan laut tidak dapat memadamkan cahaya bulan karena ia bukan sumber cahayanya anda tidak bisa mengurangi cahaya quran karena ia adalah cermin dari ucapan allah yang kekal terefleksikan dalam cermin alam duniawi ini;neutral;0;0
ketika allah mengacu dalam quran ke induk al-kitab qs;neutral;0;0
secara alamiah setiap bagian dalam quran akan memicu kita ibarat sebilah cermin;neutral;0;0
umar bin khattab yang saat itu merasa sangat khawatir akan keadaan tersebut lantas meminta kepada abu bakar untuk mengumpulkan seluruh tulisan quran yang saat itu tersebar di antara para sahabat nabi;neutral;0;0
umat islam percaya bahwa quran difirmankan langsung oleh allah kepada muhammad melalui malaikat jibril berangsur-angsur selama 22 tahun 2 bulan dan 22 hari atau rata-rata selama 23 tahun dimulai sejak tanggal 17 ramadan umat muslim menghormati quran sebagai sebuah mukjizat terbesar muhammad sebagai salah satu tanda dari kenabian dan merupakan puncak dari seluruh pesan suci wahyu yang diturunkan oleh allah sejak adam dan diakhiri dengan muhammad;neutral;0;0
setiap surah dalam quran terdiri atas sejumlah ayat mulai dari surah-surah yang terdiri atas 3 ayat yakni surah al-kausar surah an-nasr dan surah al-asr hingga surah yang mencapai 286 ayat yakni surah al-baqarah;neutral;0;0
terdapat dua pendapat berbeda mengenai asal usul nama quran apakah kata adalah isim jamid dan musytaqq atau isim jamid dan musytaqq;neutral;0;0
saat melaksanakan salat quran dibaca hanya dalam bahasa arab;neutral;0;0
jika quran berasal dari kata qaraa yang bermakna membaca maka quran berarti bacaan sedangkan jika bermakna mengumpulkan maka quran berarti kumpulan karena quran itu berisi kumpulan kisah-kisah dan hukum;neutral;0;0
penulisan naskah ini dilakukan erasmus dengan menggabungkan naskah-naskah alkitab dalam bahasa yunani dengan naskah-naskah alkitab dalam bahasa latin;neutral;0;0
di samping itu ada sejumlah kritikus alkitab mengindikasikan bahwa catatan tentang yesus telah ditambah-tambahi melalui tradisi oral turun-temurun dan tidak dituliskan hingga sepeninggal para rasul sehingga para kritikus tersebut mempertanyakan keakuratan penggambaran sosok yesus yang sesungguhnya;neutral;0;0
struktur tersebut sudah tidak berubah selama berabad-abad sejak abad ke-4 m namun beberapa terjemahan alkitab kadang-kadang memiliki konvensi yang sedikit berbeda misalnya dalam kitab mazmur alkitab bahasa indonesia nama penggubah mazmur dan judul lagu dijadikan ayat yang pertama dalam suatu pasal sedangkan dalam bahasa inggris tidak;neutral;0;0
berdasarkan perhitungan publikasi scripture language report sebuah panduan otoritatif tentang perkembangan penerjemahan alkitab global dari tahun ke tahun yang diterbitkan oleh united bible societies dari sekitar 6;neutral;0;0
alkitab katolik alkitab ortodoks yunani / timur alkitab protestan alkitab pembelajaran lembaga alkitab indonesia lembaga biblika indonesia sejarah teks alkitab bahasa indonesia software alkitab;neutral;0;0
perjanjian baru merupakan sekumpulan tulisan karya umat kristen awal yang diyakini bahwa kebanyakan di antaranya adalah para murid yesus kristus ditulis dalam bahasa yunani koine abad pertama;neutral;0;0
selain itu setiap terjemahan alkitab memiliki bagian sub-pasal yang disebut dengan perikop yaitu yang membahas suatu topik tertentu;neutral;0;0
fragmen injil yang ditemukan dan dengan penanggalan-karbon diperkirakan berasal dari paling akhir tahun 117 arkeologis alkitab william f;neutral;0;0
tiga bukti kuat mengenai hal tersebut adalah dokumen-dokumen ajaran sesat seperti pengikut marsion dan valentinus dari abad pertama dan awal abad ke-2 yang sudah mengutip dari alkitab bagian perjanjian baru;neutral;0;0
ada yang meneliti untuk mengetahui lebih mendalam mengenai tujuan dan proses penulisannya ada pula yang sebenarnya bertujuan untuk menemukan sanggahan keabsahan penggunaan alkitab sebagai kitab suci;neutral;0;0
alkitab kristen terdiri dari 39 kitab protokanonika perjanjian lama yaitu kitab-kitab bahasa ibrani karena 97% isinya ditulis dalam bahasa ibrani dan sisanya dalam bahasa aramaik;neutral;0;0
pada saat mesin cetak diciptakan pertama kalinya di eropa alkitab adalah buku pertama yang dicetak dengan mesin tipe bergerak movable yaitu alkitab latin vulgata oleh percetakan johannes gutenberg pada tahun 1455;neutral;0;0
kalangan kristen katolik roma anglikan dan ortodoks timur menekankan harmoni serta arti penting alkitab dan tradisi suci sementara kalangan kristen protestan berfokus pada konsep sola scriptura atau hanya alkitab;neutral;0;0
edisi kedua alkitab berbahasa yunani diterbitkan pada tahun 1519;neutral;0;0
demikian pula dengan isu-isu yang dihadapi oleh gereja abad pertama  pengabaran injil kepada non-yahudi karunia roh kudus sakramen baptis kepemimpinan gereja  sedikit sekali disinggung oleh yesus;neutral;0;0
gereja katolik biasanya disebut kristen katolik menetapkan deuterokanonika sebagai bagian dari perjanjian lama sejak konsili kartago 397 419 dan konsili trente 1546;neutral;0;0
pembagian alkitab ke dalam buku pasal dan ayat dan pengurutannya merupakan hasil dari kanonisasi oleh bapa gereja mula-mula;neutral;0;0
namun hampir semua sejarawan kristen lainnya menolak pandangan yang tidak didukung bukti jelas ini bahkan telah mencapai konsensus bahwa injil ditulis oleh para rasul pada abad pertama walaupun masih ada perbedapatan oleh rasul yang mana;neutral;0;0
di samping itu juga terdapat kutipan-kutipan langsung dari surat-surat komunikasi orang-orang zaman dahulu yang mendukung kebenaran salinan alkitab tersebut sejak zaman purba hingga zaman modern ini;neutral;0;0
sistem yang dibuat oleh langton ini mendasari pembagian pasal alkitab pada zaman modern;neutral;0;0
alkitab bahasa jerman diterbitkan pada tahun 1522 dan diterbitkan dalam bahasa inggris pada tahun 1525;neutral;0;0
salinan tertua alkitab latin vulgata lengkap adalah kodeks amiatinus bertarikh abad ke-8;neutral;0;0
alkitab kemudian diterjemahkan oleh martin luther dan william tyndale ke dalam bahasa jerman dan bahasa inggris;neutral;0;0
selain itu sejak abad ke-17 alkitab atau bagian alkitab telah diterjemahkan lebih dari 23 kali ke dalam bahasa-bahasa melayu dan indonesia dan lebih dari 30 bahasa daerah di indonesia;neutral;0;0
alkitab online lembaga alkitab indonesia alkitab audio alkitab sabda pdf versi wbtc kitab suci katolik ekaristi;neutral;0;0
untuk memudahkan pencarian lokasi pernyataan di dalam alkitab masing-masing kitab atau buku dibagi atas pasal-pasal;neutral;0;0
jika benar bahwa perjanjian baru ditulis pada pertengahan hingga akhir abad pertama maka para rasul yang pada saat itu masih hidup dapat membuktikan kebenarannya dan segala kesalahan sejarah akan segera tampak baik oleh para saksi mata maupun penentang orang kristen;neutral;0;0
konsep ini timbul selama reformasi protestan dan banyak denominasi protestan yang hingga saat ini terus mendukung penggunaan alkitab sebagai satu-satunya sumber ajaran kristen;neutral;0;0
saat ini umumnya alkitab dibagi-bagi berdasarkan kitab pasal dan ayat;neutral;0;0
united bible society mengumumkan bahwa sampai tanggal 31 desember 2007 alkitab tersedia dalam 438 bahasa 123 di antaranya meliputi material deuterokanonika di samping perjanjian lama dan perjanjian baru sedangkan secara terpisah tersedia dalam 1168 bahasa dan dalam bagian-bagian khusus tersedia dalam 848 bahasa lain;neutral;0;0
untuk membedakan dengan quran umat muslim di indonesia terkadang menyebut alkitab kristen dengan sebutan bibel;neutral;0;0
versi terjemahan baru alkitab bahasa indonesia misalnya cenderung mengikuti penomoran alkitab ibrani sehingga jumlah ayatnya berbeda dengan versi bahasa inggris;neutral;0;0
alkitab diperkirakan terjual sekitar 25 juta eksemplar setiap tahunnya di amerika serikat belum termasuk yang dicetak dan dibagikan secara cuma-cuma oleh organisasi seperti gideons international;neutral;0;0
penggunaan istilah tersebut oleh kalangan kristen dapat ditelusuri ke tahun 223 m;neutral;0;0
stephen langton membagi alkitab ke dalam pasal-pasal atau bab pada abad ke-13 dan seorang tukang cetak prancis bernama robert estienne membaginya ke dalam ayat-ayat pada abad ke-16;neutral;0;0
codex vaticanus dan codex sinaiticus merupakan dua salinan alkitab yang hampir lengkap dari abad ketiga hingga abad keempat;neutral;0;0
pembagian pasal dan ayat dalam alkitab ibrani tanakh yang dilakukan oleh orang yahudi mempunyai perbedaan di sejumlah tempat dibandingkan dengan pembagian yang dipakai oleh orang kristen pada bagian perjanjian lama tetapi di antara kelompok kristen ada yang memakai pembagian yang dipakai orang yahudi;neutral;0;0
umat yahudi dan kristiani kristen memandang kitab-kitab dalam alkitab sebagai hasil dari pengilhaman ilahi dan sebagai catatan otoritatif mengenai hubungan antara allah dengan manusia;neutral;0;0
pada awal sejarah kekristenan jumlah gereja yang semakin bertambah menghasilkan semakin banyak salinan yang ditulis di bawah pengawasan ketat oleh para pemimpin gereja;neutral;0;0
naskahnya disusun oleh desiderius erasmus dan menjadi edisi lengkap yang pertama dari alkitab;neutral;0;0
paling tidak ada tujuh belas tulisan non-kristen yang mencatat lebih dari lima puluh detail tentang kehidupan pengajaran kematian dan kebangkitan yesus ditambah dengan detail gereja mula-mula lebih jauh lagi reliabilitas perjanjian baru didukung oleh lebih dari 36;neutral;0;0
di negeri-negeri berbahasa arab sendiri alkitab disebut sebagai al-kitab al-muqaddas - kitab suci;neutral;0;0
di pihak lain para sejarawan kristen memberikan bukti-bukti sejarah bahwa yesus yang digambarkan di dalam injil dan alkitab yang ada sekarang ini layak untuk dipercayai;neutral;0;0
pada abad ke-2 sm kelompok-kelompok yahudi telah menyebut kitab-kitab alkitab sebagai kitab-kitab suci scriptures dan menyebutnya kudus atau suci atau   kitvei hakkodesh dalam bahasa ibrani;neutral;0;0
kejadian 11 misalnya menunjuk pada kitab kejadian yaitu kitab pertama dalam alkitab pasal pertama ayat pertama;neutral;0;0
kemudian robert estienne membuat peomoran ayat dalam karyanya perjanjian baru dalam bahasa yunani edisi tahun 1551 yang juga diterapkan dalam publikasi alkitab bahasa prancis olehnya pada tahun 1553;neutral;0;0
di antara denominasi-denominasi kristen terdapat beberapa perbedaan pendapat mengenai isi kanon terutama dalam apokrifa yakni sejumlah karya yang dipandang dengan beragam tingkat penghormatan;neutral;0;0
oleh karena itu alkitab bahasa indonesia memiliki beberapa puluh ayat lebih banyak dari bahasa inggris;neutral;0;0
orang pertama yang membagi pasal-pasal perjanjian baru atas ayat-ayat adalah pakar alkitab dari ordo dominikan asal italia santi pagnini 14701541 tetapi sistemnya tidak pernah dipakai luas;neutral;0;0
di dalam lingkup pemahaman akan gereja yang tak kasatmata ini gereja atau gereja yang am tidak merujuk kepada suatu denominasi kristen tertentu tetapi mencakup semua orang pribadi yang sudah diselamatkan;neutral;0;0
beberapa kelompok mendaku sebagai satu-satunya ahli waris langsung dan sejati dari gereja yang diasaskan yesus kristus pada abad pertama tarikh masehi;neutral;0;0
jabatan pelayanan uskup selaku penilik jemaat tingkat daerah atau nasional terdapat di dalam semua denominasi kristen injili sekalipun disebut dengan istilah-istilah lain misalnya sebutan ketua sinode atau ketua sinode am;neutral;0;0
lantaran kristus diganti dengan gereja istilah kekristenan pun berubah menjadi kegerejaan;neutral;0;0
gereja ortodoks timur juga mendaku bahwa empat dari lima takhta pentarki tidak termasuk roma masih menjadi bagian dari gereja ortodoks timur;neutral;0;0
konstantinus agung bersama para uskup peserta konsili nikea i tahun 325 membentangkan syahadat nikea-konstantinopel tahun 381 ikon kristen timur kekaisaran romawi secara resmi mengadopsi kekristenan berhaluan nikea menjadi agama negara pada tanggal 27 februari 380;neutral;0;0
sebagian umat protestan menggunakannya untuk menyifatkan golongan-golongan umat kristen yang mereka anggap sudah mengalihkan perhatiannya dari kristus kepada gereja;neutral;0;0
ignasius dari antiokhia pada awal abad ke-2 dan ireneus pada akhir abad yang sama memandang persatuan dengan uskup sebagai uji iman kristen yang benar;neutral;0;0
yang diasaskan dan ditata di dalam dunia sebagai suatu masyarakat wujud di dalam gereja katolik yang diselenggarakan oleh pengganti petrus dan oleh uskup-uskup yang bersatu dengannya;neutral;0;0
meskipun demikian bentuk penyelenggaraan gereja yang paling umum di dalam tradisi injili adalah tatanan kejemaatan kongregasional;neutral;0;0
bagi sebagian besar umat kristen hari pentakosta peristiwa yang terjadi sesudah yesus naik ke surga adalah hari jadi gereja ditandai turunnya roh kudus ke atas murid-murid yesus yang sedang berkumpul;neutral;0;0
biara mar matai tempat tinggal para rahib gereja nestorian yang dibangun pada tahun 363 masehi salah satu biara kristen tertua yang masih berdiri sampai sekarang;neutral;0;0
kendati tidak pernah menyifatkan gereja dengan kata katolik maupun semesta perjanjian baru memang mengindikasikan bahwa komunitas-komunitas lokal secara kolektif merupakan satu gereja bahwasanya umat kristen mestilah berusaha untuk senantiasa sehati sejiwa selaku jemaat allah bahwasanya injil harus diwartakan kepada segala bangsa dan disebarluaskan sampai ke ujung-ujung bumi bahwasanya gereja terbuka kepada segala bangsa dan tidak boleh terpecah-belah dst;neutral;0;0
kata eklesia muncul di dalam 2 ayat injil matius 24 ayat kisah para rasul 58 ayat surat-surat paulus termasuk contoh-contoh terawal dari penggunaannya untuk merujuk kepada suatu badan persekutuan umat kristen 2 ayat surat kepada orang ibrani 1 ayat surat yakobus 3 ayat surat yohanes iii dan 19 ayat kitab wahyu;neutral;0;0
menurut teori cabang yang digadang-gadangkan di kalangan anglikan gereja-gereja pelestari suksesi apostolik adalah bagian dari gereja yang sejati;neutral;0;0
ilustrasi ecclesia di dalam naskah hortus deliciarum karya heradis dari landsberg abad ke-12 gereja adalah istilah eklesiologis yang digunakan berbagai denominasi kristen untuk menyifatkan badan persekutuan umat kristen yang sejati atau lembaga asali yang diasaskan yesus;neutral;0;0
salah satu contohnya adalah kata igreja dalam bahasa portugis yang diserap menjadi kata gereja dalam bahasa indonesia;neutral;0;0
gereja yang tak kasatmata meliputi keseluruhan orang-orang kudus sementara gereja yang kasatmata adalah lembaga yang disediakan allah sebagai perwakilan karya penyelamatan pembenaran dan pemeliharaan allah yang disebut yohanes kalvin sebagai ibunda kita;neutral;0;0
roma pun menjadi jantung kekristenan di mata gereja barat;neutral;0;0
kesusastraan devosional dan keteketis katolik pun sudah lazim mengedepankan tema gereja yang kudus katolik dan apostolik adalah satu-satunya kawanan domba dan yesus kristus putra allah adalah satu-satunya gembala;neutral;0;0
di dalam doktrinnya gereja katolik mengajarkan bahwa dirinyalah gereja asali yang didirikan yesus di atas dasar para rasul pada abad pertama tarikh masehi;neutral;0;0
dengan nada yang sama ensiklik singulari quidem dari paus pius ix menegaskan bahwa hanya ada satu gereja katolik yang sejati yang kudus yakni gereja roma yang apostolik;neutral;0;0
banyak teolog kristen baptis dan kongregasional menerima makna jemaat lokal sebagai satu-satunya aplikasi yang sah dari istilah gereja;neutral;0;0
bertolak dari perspektif ini kesatuan nyata dan kekudusan segenap gereja yang dilembagakan melalui para rasul belum tersingkap dan untuk sementara waktu luas cakupan dan kesentosaan gereja di muka bumi terejawantahkan dengan tidak sempurna secara kasatmata;neutral;0;0
meskipun demikian kelompok-kelompok lain meyakini denominasionalisme di mana beberapa atau semua kelompok umat kristen merupakan jemaat-jemaat yang sah dari satu agama yang sama tanpa pandang label akidah dan amalan yang membeda-bedakan mereka;neutral;0;0
gereja dapat pula dirujuk melalui gambaran-gambaran yang secara tradisional dipakai di dalam alkitab untuk merujuk kepada umat allah misalnya pemakaian gambaran kebun anggur teristimewa di dalam injil yohanes;neutral;0;0
di dalam kekristenan denominasi merupakan istilah yang umum dipakai untuk menyebut badan keagamaan yang dapat dikenali lewat unsur-unsur seperti nama struktur kepemimpinan atau doktrin bersama;neutral;0;0
pengakuan iman kalvinis menitikberatkan ajaran injil yang murni pura doctrina evangelii dan pelayanan sakramen-sakramen dengan benar recta administratio sacramentorum sebagai dua tanda asasi gereja kasatmata yang sejati;neutral;0;0
di mana saja uskup hadir di situ pula hendaknya umat hadir sama seperti di mana saja yesus kristus hadir disitu pula gereja katolik hadir demikian tulis ignasius;neutral;0;0
di dunia barat golongan yang disebut gereja ortodoks menghadapi persaingan dengan golongan kristen arian maupun persaingan dengan berbagai agama pagan yang dipeluk kepala-kepala suku jermani tetapi berjaya melebarkan sayapnya keluar dari bekas wilayah barat kekaisaran romawi ke irlandia jerman skandinavia dan negeri bangsa slav barat;neutral;0;0
beberapa pihak menduga bahwa konflik dengan para pemuka agama yahudilah yang dalam waktu singkat mengakibatkan umat kristen terusir dari rumah-rumah ibadat yahudi di yerusalem;neutral;0;0
pada tanggal 27 februari 380 kaisar teodosius i mempermaklumkan bahwa hanya pemeluk agama kristen berakidah tritunggal sajalah yang berhak disebut umat kristen katolik sementara semua pihak berakidah lain harus dianggap sebagai ahli-ahli bidat dan oleh karena itu merupakan para pelanggar hukum negara;neutral;0;0
bagi kedua gereja ini kesatuan adalah salah satu dari keempat ciri gereja sejati yang dijabarkan di dalam syahadat dan hakikat dari sebuah ciri adalah dapat dilihat;neutral;0;0
sedari abad ke-2 umat kristen sudah menyanggah ajaran-ajaran yang mereka anggap bidat khususnya ajaran gnostik dan juga ajaran montanus;neutral;0;0
jumlah total kemunculan kata eklesia di dalam perjanjian baru adalah 114 kali kendati tidak selalu dipakai secara teknis untuk merujuk kepada gereja;neutral;0;0
mereka mati-matian menolak gagasan gereja semesta katolik;neutral;0;0
istilah kekristenan sedunia atau kekristenan global berupaya menyampaikan hakikat global dari agama kristen;neutral;0;0
